Id;Latitude;Longitude;Elevation;HeartRate;Cadence;TrackSegmentId;Power;Temperature;Time
4019;48,86405;2,235054;31,15797;150;0;15;0;0;2019-06-09 14:08:59.000
4020;48,86399;2,234198;30,80897;149;0;15;0;0;2019-06-09 14:08:52.000
4021;48,85658;2,228609;32,23315;139;0;15;0;0;2019-06-09 14:07:00.000
4022;48,85635;2,228603;32,8502;140;0;15;0;0;2019-06-09 14:06:57.000
4023;48,85628;2,228592;33,0154;140;0;15;0;0;2019-06-09 14:06:56.000
4024;48,85581;2,228638;34,48044;141;0;15;0;0;2019-06-09 14:06:50.000
4025;48,85534;2,228751;33,74424;140;0;15;0;0;2019-06-09 14:06:44.000
4026;48,85479;2,228916;32,63943;139;0;15;0;0;2019-06-09 14:06:37.000
4027;48,85441;2,229089;31,84563;139;0;15;0;0;2019-06-09 14:06:32.000
4028;48,85434;2,229129;31,65618;139;0;15;0;0;2019-06-09 14:06:31.000
4029;48,85425;2,229158;31,37715;138;0;15;0;0;2019-06-09 14:06:30.000
4030;48,85403;2,229285;31,53963;138;0;15;0;0;2019-06-09 14:06:27.000
4031;48,85375;2,229502;32,30625;138;0;15;0;0;2019-06-09 14:06:23.000
4032;48,85347;2,229741;32,74923;137;0;15;0;0;2019-06-09 14:06:19.000
4033;48,85339;2,229806;32,80542;137;0;15;0;0;2019-06-09 14:06:18.000
4034;48,8529;2,230293;32,64864;136;0;15;0;0;2019-06-09 14:06:11.000
4035;48,85252;2,230813;32,02494;136;0;15;0;0;2019-06-09 14:06:05.000
4036;48,85238;2,231099;31,67105;137;0;15;0;0;2019-06-09 14:06:02.000
4037;48,8522;2,231557;31,15112;138;0;15;0;0;2019-06-09 14:05:58.000
4038;48,85212;2,23177;31,08114;138;0;15;0;0;2019-06-09 14:05:56.000
4039;48,85188;2,232616;31,13716;140;0;15;0;0;2019-06-09 14:05:49.000
4040;48,85185;2,232743;31,48166;140;0;15;0;0;2019-06-09 14:05:48.000
4041;48,85176;2,233133;32,40762;141;0;15;0;0;2019-06-09 14:05:45.000
4042;48,8569;2,22864;32,70613;140;0;15;0;0;2019-06-09 14:07:04.000
4043;48,85212;2,23673;35,16908;150;0;15;0;0;2019-06-09 14:11:55.000
4044;48,85713;2,228677;33,31225;141;0;15;0;0;2019-06-09 14:07:07.000
4045;48,85813;2,228968;32,01564;144;0;15;0;0;2019-06-09 14:07:20.000
4046;48,86396;2,233948;31,4093;149;0;15;0;0;2019-06-09 14:08:50.000
4047;48,86386;2,233345;33,32833;150;0;15;0;0;2019-06-09 14:08:45.000
4048;48,86366;2,232671;33,7525;150;0;15;0;0;2019-06-09 14:08:39.000
4049;48,86337;2,232044;31,99914;150;0;15;0;0;2019-06-09 14:08:33.000
4050;48,86298;2,231434;32,2062;150;0;15;0;0;2019-06-09 14:08:26.000
4051;48,86267;2,231066;32,387;149;0;15;0;0;2019-06-09 14:08:21.000
4052;48,86261;2,230995;32,31335;149;0;15;0;0;2019-06-09 14:08:20.000
4053;48,86254;2,230934;32,22294;149;0;15;0;0;2019-06-09 14:08:19.000
4054;48,8624;2,230822;31,64377;149;0;15;0;0;2019-06-09 14:08:17.000
4055;48,86187;2,230527;29,91975;149;0;15;0;0;2019-06-09 14:08:10.000
4056;48,8618;2,230487;29,75538;149;0;15;0;0;2019-06-09 14:08:09.000
4057;48,86127;2,230233;31,08156;148;0;15;0;0;2019-06-09 14:08:02.000
4058;48,86097;2,230082;31,8112;148;0;15;0;0;2019-06-09 14:07:58.000
4059;48,86075;2,229986;32,04197;147;0;15;0;0;2019-06-09 14:07:55.000
4060;48,86045;2,229863;32,11547;147;0;15;0;0;2019-06-09 14:07:51.000
4061;48,86037;2,229835;32,04437;147;0;15;0;0;2019-06-09 14:07:50.000
4062;48,85993;2,229708;31,29852;147;0;15;0;0;2019-06-09 14:07:44.000
4063;48,85978;2,229653;31,16806;147;0;15;0;0;2019-06-09 14:07:42.000
4064;48,85919;2,229414;30,59471;146;0;15;0;0;2019-06-09 14:07:34.000
4065;48,8586;2,229164;30,69127;145;0;15;0;0;2019-06-09 14:07:26.000
4066;48,85822;2,228996;31,78396;144;0;15;0;0;2019-06-09 14:07:21.000
4067;48,85759;2,228796;33,61478;143;0;15;0;0;2019-06-09 14:07:13.000
4068;48,85162;2,233798;32,52393;142;0;15;0;0;2019-06-09 14:05:40.000
4069;48,85178;2,236797;34,32507;149;0;15;0;0;2019-06-09 14:11:59.000
4070;48,8515;2,23651;34,24094;147;0;15;0;0;2019-06-09 14:12:03.000
4071;48,86152;2,237691;32,20102;144;0;15;0;0;2019-06-09 14:16:36.000
4072;48,86179;2,237873;32,15879;143;0;15;0;0;2019-06-09 14:16:32.000
4073;48,86185;2,237926;32,15023;143;0;15;0;0;2019-06-09 14:16:31.000
4074;48,86222;2,238037;30,65261;143;0;15;0;0;2019-06-09 14:16:26.000
4075;48,86244;2,238059;29,34941;142;0;15;0;0;2019-06-09 14:16:23.000
4076;48,86251;2,238028;29,00302;142;0;15;0;0;2019-06-09 14:16:22.000
